! name platform 1.2 m 0.67
85ele1  -2.7   -7.7942
85ele2  -0.9   -7.7942
85ele3   0.9   -7.7942
85ele4   2.7   -7.7942
85ele5  -5.4   -6.2354
61ele6  -3.6   -6.2354
55ele7  -1.8   -6.2354
55ele8   0.0   -6.2354
55ele9   1.8   -6.2354
61ele10  3.6   -6.2354
61ele11  5.4   -6.2354
61ele12 -6.3   -4.6764
55ele13  -4.5   -4.6764
37ele14  -2.7   -4.6764
31ele15  -0.9   -4.6764
31ele16   0.9   -4.6764
37ele17  2.7   -4.6764
55ele18  4.5   -4.6764
85ele19  6.3   -4.6764
85ele20  -7.2  -3.1176
55ele21  -5.4  -3.1176
31ele22  -3.6   -3.1176
19ele23  -1.8   -3.1176
13ele24   0.0   -3.1176
19ele25   1.8   -3.1176
31ele26   3.6   -3.1176
55ele27   5.4   -3.1176
85ele28   7.2   -3.1176
85ele29  -8.1  -1.5588
55ele30  -6.3  -1.5588
31ele31  -4.5  -1.5588
13ele32  -2.7   -1.5588
7ele33	-0.9   -1.5588
7ele34   0.9   -1.5588
13ele35  2.7   -1.5588
31ele36  4.5   -1.5588
55ele37  6.3   -1.5588
85ele38  8.1   -1.5588
61ele39  -7.2    0.0
37ele40  -5.4    0.0
19ele41  -3.6    0.0
7ele42   -1.8    0.0
7ele43   0.0    0.0
7ele44   1.8    0.0
19ele45  3.6    0.0
37ele46  5.4    0.0
61ele47  7.2    0.0
85ele48 -8.1    1.5588
55ele49 -6.3    1.5588
31ele50 -4.5    1.5588
13ele51 -2.7    1.5588
7ele52  -0.9    1.5588
7ele53   0.9    1.5588
13ele54  2.7    1.5588
31ele55  4.5    1.5588
55ele56  6.3    1.5588
85ele57  8.1    1.5588
85ele58 -7.2    3.1176
55ele59 -5.4    3.1176
31ele60 -3.6    3.1176
19ele61 -1.8    3.1176
13ele62  0.0    3.1176
19ele63  1.8    3.1176
31ele64  3.6    3.1176
55ele65  5.4    3.1176
85ele66  7.2    3.1176
85ele67 -6.3    4.6764
55ele68 -4.5    4.6764
37ele69 -2.7    4.6764
31ele70 -0.9    4.6764
31ele71  0.9    4.6764
37ele72  2.7    4.6764
55ele73  4.5    4.6764
85ele74  6.3    4.6764
85ele75 -5.4    6.2354
61ele76 -3.6    6.2354
55ele77 -1.8    6.2354
55ele78  0.0    6.2354
55ele79  1.8    6.2354
61ele80  3.6    6.2354
85ele81  5.4    6.2354
85ele82 -2.7    7.7942
85ele83 -0.9    7.7942
85ele84  0.9    7.7942
85ele85  2.7    7.7942
