! name platform 1.2 m 0.67
61ele1  -3.6   -6.2354
55ele2  -1.8   -6.2354
55ele3   0.0   -6.2354
55ele4   1.8   -6.2354
61ele5   3.6   -6.2354
55ele6  -4.5   -4.6764
37ele7  -2.7   -4.6764
31ele8  -0.9   -4.6764
31ele9   0.9   -4.6764
37ele10  2.7   -4.6764
55ele11  4.5   -4.6764
55ele12  -5.4  -3.1176
31ele13  -3.6   -3.1176
19ele14  -1.8   -3.1176
13ele15   0.0   -3.1176
19ele16   1.8   -3.1176
31ele17   3.6   -3.1176
55ele18   5.4   -3.1176
55ele19  -6.3  -1.5588
31ele20  -4.5  -1.5588
13ele21  -2.7   -1.5588
7ele22	-0.9   -1.5588
7ele23   0.9   -1.5588
13ele24  2.7   -1.5588
31ele25  4.5   -1.5588
55ele26  6.3   -1.5588
61ele27  -7.2    0.0
37ele28  -5.4    0.0
19ele29  -3.6    0.0
7ele30   -1.8    0.0
7ele31   0.0    0.0
7ele32   1.8    0.0
19ele33  3.6    0.0
37ele34  5.4    0.0
61ele35  7.2    0.0
55ele36 -6.3    1.5588
31ele37 -4.5    1.5588
13ele38 -2.7    1.5588
7ele39  -0.9    1.5588
7ele40   0.9    1.5588
13ele41  2.7    1.5588
31ele42  4.5    1.5588
55ele43  6.3    1.5588
55ele44 -5.4    3.1176
31ele45 -3.6    3.1176
19ele46 -1.8    3.1176
13ele47  0.0    3.1176
19ele48  1.8    3.1176
31ele49  3.6    3.1176
55ele50  5.4    3.1176
55ele51 -4.5    4.6764
37ele52 -2.7    4.6764
31ele53 -0.9    4.6764
31ele54  0.9    4.6764
37ele55  2.7    4.6764
55ele56  4.5    4.6764
61ele57 -3.6    6.2354
55ele58 -1.8    6.2354
55ele59  0.0    6.2354
55ele60  1.8    6.2354
61ele61  3.6    6.2354
