! name array 5 m 1.0
p1 -8.0  -40.0 
p2 -8.0  -32.0 
p3 -8.0  -24.0
p4 -8.0  -16.0
p5 -8.0  -8.0
p6 -8.0   0.0 
p7 -8.0   8.0
p8 -8.0   16.0
p9 -8.0   24.0
p10 -8.0  32.0
p11 -8.0  40.0
p12 0.0   -40.0
p13 0.0   -32.0
p14 0.0   -24.0
p15 0.0   -16.0
p16 0.0   -8.0
p17 0.0   0.0
p18 0.0   8.0
p19 0.0   16.0
p20 0.0   24.0
p21 0.0   32.0
p22 0.0   40.0
p23 8.0   -40.0
p24 8.0   -32.0
p25 8.0   -24.0
p26 8.0   -16.0
p27 8.0   -8.0
p28 8.0    0.0
p29 8.0    8.0
p30 8.0    16.0
p31 8.0    24.0
p32 8.0    32.0
p33 8.0    40.0
